Name,Affiliation,Google Scholar Profile,ORCID Profile,Research Gate Profile,Research Interests/Focus,Taxonomy Tags
Stan L. Bowie,University of Tennessee Knoxville,http://scholar.google.com/citations?user=shGTJjMAAAAJ&hl=en&inst=9897619243961157265&oi=ao,,https://www.researchgate.net/profile/Stan-Bowie,"African Americans, social work education, social work in public housing, welfare reform","Black or African American, Race and ethnicity, Social Work education, Pedagogy, Welfare"
Patricia Bamwine,University of Tennessee Knoxville,https://scholar.google.com/citations?user=nPoC2AsAAAAJ&hl=en&inst=1297495080519272923&oi=sra,https://orcid.org/0000-0002-3727-8191,https://www.researchgate.net/profile/Patricia-Bamwine,"Community based, Children and adolescents, Health, Program evaluation, Social theory, Urban issues, Community Engagement, Forensic social work","Community based, Children and adolescents, Health, Program evaluation, Social theory, Urban issues, Community Engagement, Forensic social work"
Carmen Foster,University of Tennessee Knoxville,,https://orcid.org/0000-0002-8761-2717,,"Social and Emotional Learning (SEL), ACES and trauma, vicarious trauma for social workers and teachers, racial inequity, cross-cultural communication, educational equity, racial and cultural humility","Self harm and suicide, Adverse childhood experiences (ACEs), Children and adolescents, Substance use, Social determinants, Health, Mental and behavioral health, Healthcare, Global perspectives"
J. Camille Hall,University of Tennessee Knoxville,https://scholar.google.com/citations?user=XjkxozYAAAAJ&hl=en&oi=ao,https://orcid.org/0000-0002-9455-6522,https://www.researchgate.net/profile/J-Camille-Hall,Risk and resilience among Black Americans and multicultural competence ,"Black or African American, Race and ethnicity, Risk and protective factors, Resilience, Cultural competence"
Andrea Joseph,University of Tennessee Knoxville,https://scholar.google.com/citations?user=KT7jkGEAAAAJ&hl=en&inst=1297495080519272923&oi=sra,https://orcid.org/0000-0002-4024-913X,https://www.researchgate.net/profile/Andrea-Joseph-4/research?ev=brs_act,"Education Systems, social work, race and ethnic relations","Education, Race and ethnicity"
Javonda Williams,University of Tennessee Knoxville,,,,"Family and child welfare, childhood trauma, multi-systemic interventions to trauma and abuse","Families and Family Dynamics, Child welfare, Adverse childhood experiences (ACEs), Trauma"
Monique Constance-Huggins,Winthrop University,,,https://www.researchgate.net/profile/Monique-Constance-Huggins,"Poverty, racial disparities, social policy, and social capital ","Poverty, Race and ethnicity, Policy"
Iris Carlton-Laney,University of North Carolina,,,https://www.researchgate.net/profile/Iris-Carlton-Laney,"Social welfare history, aging in rural communities","Social Work history, Aging, Rural issues"
Carolyn Gentle-Genitty,Indiana University,https://scholar.google.com/citations?hl=en&user=fYswmkkAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-1231-319X,https://www.researchgate.net/profile/Carolyn-Gentle-Genitty,"Student Bond and Student Success, Truancy, Absenteeism, SALT (Strengths, Area of Focus, Limitations, and Theory) model, Violence","Education, Children and adolescents, Violence"
Lani Valencia Jones,"University at Albany, SUNY",https://scholar.google.com/citations?hl=en&user=IO89LUAAAAAJ&inst=1297495080519272923,,https://www.researchgate.net/profile/Lani-Jones,"Mental health practice, psychosocial competence among women of color","Black or African American, Mental and behavioral health"
Luiz Zayas,University of Texas at Austin,https://scholar.google.com/citations?hl=en&user=jYGgP9AAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0003-3356-7233,,Latinx mental health,"Latinx, Mental and behavioral health"
Tyreasa Washington,University of North Carolina Greensboro,https://scholar.google.com/citations?hl=en&user=EquKwRQAAAAJ,https://orcid.org/0000-0002-7179-6312,https://www.researchgate.net/profile/Tyreasa-Washington,"Kinship care among African American families, specifically grandparents caring for grandchildren","Families and Family Dynamics, Black or African American"
Bonnie Duran,University of Washington,https://scholar.google.com/citations?hl=en&user=Q0nPRbQAAAAJ,https://orcid.org/0000-0001-5886-5232,https://www.researchgate.net/profile/Bonnie-Duran-2,"Indigenous wellness, mental health, alcohol and substance abuse epidemiology and intervention, mindfulness","Indigenous, Mental and behavioral health, Substance use"
Michael Spencer,University of Washington,https://scholar.google.com/citations?hl=en&user=gZ8-Wb4AAAAJ,https://orcid.org/0000-0002-6182-5706,https://www.researchgate.net/profile/Michael-Spencer-10,"Asian Americans and Pacific Islander (AAPI) issues, community based participatory research, and preservation of indigenous culture","Asian Americans and Pacific Islander (AAPI), Mental and behavioral health, Community based, Indigenous"
Charles H. Lea III,University of Houston,https://scholar.google.com/citations?hl=en&user=cAn-eW4AAAAJ,https://orcid.org/0000-0002-5157-1052,https://www.researchgate.net/profile/Charles-Lea,"Criminal justice, decarceration","Criminal justice, Incarceration"
Jane J. Lee,University of Washington,https://scholar.google.com/citations?hl=en&user=kmgVd1gAAAAJ,https://orcid.org/0000-0002-7047-9315,https://www.researchgate.net/profile/Jane-Lee-61,"Immigration and health, HIV/AIDS prevention, racial and ethnic health disparities","Immigration, HIV or AIDS, Race and ethnicity, Health, Disparities"
Gino Aisenberg,University of Washington,,,https://www.researchgate.net/profile/Gino-Aisenberg,"Latinx mental health and access to health care, community violence","Latinx, Mental and behavioral health, Healthcare, Violence"
Amelia Gavin,University of Washington,,https://orcid.org/0000-0003-2200-2368,https://www.researchgate.net/profile/Amelia-Gavin,"African American women and depression, racial disparities in birth outcomes, racial discrimination","Black or African American, Mental and behavioral health, Race and ethnicity, Disparities, Discrimination"
David Huh,University of Washington,https://scholar.google.com/citations?user=WKRevNQAAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0002-6357-4883,https://www.researchgate.net/profile/David-Huh,"Quantitative methods, Subtance Abuse and Suicide Prevention, health disparities research","Research methods, Substance use, Self harm and suicide, Health, Disparities"
Michelle Johnson-Jennings,University of Washington,https://scholar.google.com/citations?user=fgNcAq0AAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0003-0723-6588,https://www.researchgate.net/profile/Michelle-Johnson-Jennings,"Indigenous health and psychology, psychological and behavioral aspects of health care, epidemiology","Indigenous, Mental and behavioral health, Health, Healthcare"
E. Roberto Orellana,University of Washington,https://scholar.google.com/citations?hl=en&user=UQZWdRIAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0003-4444-2321,https://www.researchgate.net/profile/E-Roberto-Orellana,"Indigenous and Latinx health, substance abuse and HIV prevention among minority populations","Indigenous, Latinx, Health, Substance use, HIV or AIDS, Vulnerable populations"
Emiko Tajima,University of Washington,,https://orcid.org/0000-0003-2041-131X,https://www.researchgate.net/scientific-contributions/Emiko-A-Tajima-39199187,"Child welfare, child maltreatment, domestic violence","Child welfare, Children and adolescents, Adverse childhood experiences (ACEs), Domestic violence, Families and Family Dynamics"
David Takeuchi,University of Washington,,https://orcid.org/0000-0003-2315-1373,https://www.researchgate.net/profile/David-Takeuchi-2,"Ethnic minority mental health, health disparities, research design and data analysis","Race and ethnicity, Mental and behavioral health, Health, Disparities, Research methods, Data analysis"
Karina Walters,University of Washington,https://scholar.google.com/citations?user=6fj-wakAAAAJ&hl=en&inst=1297495080519272923&oi=ao,,,"American Indian and Alaska Native (AIAN) mental health, alcohol and substance abuse, wellness, multicultural social work practice","Race and ethnicity, Mental and behavioral health, Health, Disparities, Substance use, Social Work practice, Cultural competence"
Val Kalei Kanuha,University of Washington,https://scholar.google.com/citations?hl=en&user=E0cSng0AAAAJ,https://orcid.org/0000-0003-4632-7837,https://www.researchgate.net/profile/Kalei-Kanuha,"Gender violence against women and children, interesectionality of race/ethnicity, gender and sexual identity","Violence, Gender based violence, Children and adolescents, Intersectionality, Gender and sexuality, Race and ethnicity"
Fiona Conway,University of Texas at Austin,https://scholar.google.com/citations?hl=en&user=87EMxjMAAAAJ,https://orcid.org/0000-0003-2626-4752,https://www.researchgate.net/profile/Fiona-Conway-2,"Substance use disorders; biosocial research, bio-behavioral health, technology-assisted health interventions","Substance use, Health, Technology"
Esther Calzada,University of Texas at Austin,,https://orcid.org/0000-0003-0382-9212,https://www.researchgate.net/profile/Esther-Calzada,"Parenting, early childhood development, academic achievement, Latino families, racial/ethnic disparities","Families and Family Dynamics, Children and adolescents, Human development, Education, Latinx, Race and ethnicity, Disparities"
Yessenia Castro,University of Texas at Austin,https://scholar.google.com/citations?hl=en&user=58LN-aoAAAAJ,,https://www.researchgate.net/scientific-contributions/Yessenia-Castro-16239758,"Development, evaluation, and dissemination of interventions for health risk behaviors; effects of cultural factors, gender, and race/ethnicity on health behavior; Latino health; psychometrics","Program evaluation, Health, Risk Behavior, Culture, Gender and sexuality, Latinx"
Namkee G. Choi,University of Texas at Austin,https://scholar.google.com/citations?hl=en&user=fd1nS5AAAAAJ,,https://www.researchgate.net/profile/Namkee-Choi,Geriatric Mental Health; Depression Treatment in Aging Services; Social Policy for older persons (Social Security and Supplemental Security Income); Program evaluation,"Aging, Mental and behavioral health, Policy, Program evaluation"
Rowena Fong,University of Texas at Austin,,,,"Adoptions, child welfare, Chinese American children and families, human trafficking, culturally competent practice, translational research and practice","Adoption, Child welfare, Children and adolescents, Families and Family Dynamics, Race and ethnicity, Human trafficking, Cultural competence, Social Work practice"
Dorie Gilbert,University of Texas at Austin,,,https://www.researchgate.net/profile/Dorie-Gilbert,"Africentric interventions, global health and mental health disparities, international development and social entrepreneurship","Black or African American, Global perspectives, Health, Mental and behavioral health, Disparities, International issues, Social mobility"
Mercedes Hernandez,University of Texas at Austin,https://scholar.google.com/citations?hl=en&user=cyh3bsEAAAAJ,https://orcid.org/0000-0001-8480-8725,,Serious mental illness; mental health disparities; first-episode psychosis; culturally competent evidenced-based treatment for racial and ethnic minorities with serious mental illness and their families,"Mental and behavioral health, Disparities, Cultural competence, Race and ethnicity, Families and Family Dynamics"
Farya Phillips,University of Texas at Austin,https://scholar.google.com/citations?hl=en&user=D3j0mswAAAAJ,https://orcid.org/0000-0002-9210-0177,https://www.researchgate.net/profile/Farya-Phillips,Adolescents and young adult cancer survivors; parental cancer; children and healthcare; psychosocial oncology; grief and loss; palliative and end of life care; Inter-professional education for healthcare providers,"Children and adolescents, Healthcare, Mental and behavioral health, Grief and loss, Hospice and palliative care, Training"
Diane McDaniel Rhodes,University of Texas at Austin,,,https://www.researchgate.net/profile/Diane-Rhodes,"Family violence, partner violence, violence against women, social inequity, popular culture","Families and Family Dynamics, Domestic violence, Gender based violence, Disparities, Culture"
Ruth G. McRoy,University of Texas at Austin,,,https://www.researchgate.net/profile/Ruth-Mcroy,"Open adoptions, outcomes for birthmothers, adoptive parents and adopted children, trans-racial adoptions, family preservation, special needs adoptions, post-adoption services, female sexual abuse perpetrators, racial identity, adolescent pregnancy, effectiveness of residential treatment services.","Adoption, Families and Family Dynamics, Gender based violence, Domestic violence, Race and ethnicity, Children and adolescents"
Lailea Noel,University of Texas at Austin,https://scholar.google.com/citations?hl=en&user=kIqlfrwAAAAJ,,,Health social work; cancer disparities; patient-provider communication; health care decision making; community-based participatory research; vulnerable populations,"Health, Disparities, Communication, Healthcare, Community based, Vulnerable populations"
Yolanda C. Padilla,University of Texas at Austin,https://scholar.google.com/citations?hl=en&user=HoCs89kAAAAJ,,https://www.researchgate.net/profile/Yolanda-Padilla-3,"Population studies focusing on racial and ethnic disparities in health and well-being with an emphasis on Mexican American children and families, poverty, immigration, and applications to social welfare policy development. Areas of practice specialization: policy analysis and community practice","Race and ethnicity, Health, Disparities, Latinx, Children and adolescents, Families and Family Dynamics, Poverty, Economic issues, Immigration, Policy, Community based"
Ruben Parra-Cardona,University of Texas at Austin,,https://orcid.org/0000-0003-0250-1012,https://www.researchgate.net/profile/Jose-Parra-Cardona,"Latinx families, parenting","Latinx, Families and Family Dynamics"
Michele A. Rountree,University of Texas at Austin,,,https://www.researchgate.net/profile/Michele-Rountree,"Health disparities, intimate partner violence and heightened risk for HIV/AIDS, evidence-based HIV/AIDS interventions, prevention strategies tailored to women and communities of color","Health, Disparities, Domestic violence, HIV or AIDS, Black Indigenous People of Color (BIPOC), Vulnerable populations"
Carmen R. Valdez,University of Texas at Austin,https://scholar.google.com/citations?hl=en&user=KI51BFIAAAAJ,https://orcid.org/0000-0002-7608-4146,https://www.researchgate.net/profile/Carmen-Valdez-3,"Community-based participatory research, family interventions, immigrant health, mental health","Community based, Families and Family Dynamics, Immigration, Health, Mental and behavioral health"
Shetal Vohra-Gupta,University of Texas at Austin,,https://orcid.org/0000-0001-8515-0603,,"Health disparities, social determinants of health, interpersonal violence, health policy, racial equity, critical race theory","Health, Disparities, Social determinants, Domestic violence, Policy, Critical Race Theory, "
Ahmed Whitt,University of Texas at Austin,,,,Neighborhood contextual factors on adolescent mental health and behavioral outcomes,"Children and adolescents, Mental and behavioral health"
Ijeoma Opara,Yale University,https://scholar.google.com/citations?hl=en&user=PR801ugAAAAJ,https://orcid.org/0000-0002-1118-4699,https://www.researchgate.net/profile/Ijeoma-Opara-2,"HIV/AIDS, STI, and substance use prevention for urban youth, racial and gender specific prevention interventions for Black girls, and community-based participatory research with urban youth","HIV or AIDS, Substance use, Urban issues, Black or African American, Community based, Children and adolescents"
Yodit Betru,University of Pittsburgh,,https://orcid.org/0000-0002-4541-822X,,"Trauma, child welfare, and families","Trauma, Child welfare, Families and Family Dynamics"
Valire Copeland,University of Pittsburgh,,,https://www.researchgate.net/profile/Valire-Copeland,"African American women, health and mental health disparities, social determinants of health, integrated behavioral health care, social work pratice in healthcare settings","Black or African American, Health, Mental and behavioral health, Disparities, Social determinants, Healthcare, Social Work practice"
James Huguley,University of Pittsburgh,https://scholar.google.com/citations?hl=en&user=SXpAY2gAAAAJ,https://orcid.org/0000-0003-4659-939X,,"School based interventions on students of color, parenting, race and social problems","Education, Black Indigenous People of Color (BIPOC), Families and Family Dynamics, Race and ethnicity"
Victor Figuereo,University of Pittsburgh,,https://orcid.org/0000-0003-2091-3723,,"Mental health among LatinX, racialization, intersections of race and ethnicity, health disparities","Mental and behavioral health, Latinx, Intersectionality, Race and ethnicity, Health, Disparities"
John Wallace,University of Pittsburgh,,,https://www.researchgate.net/profile/John-Wallace-Jr,"Community based participatory research, adolescent problem behaviors, comprehensive community initiatives, role of faith-based organizations in community revitalization, social entrepreneurship","Community based, Children and adolescents, Risk Behavior, Community Engagement, Faith and spirituality, Organizations, Nonprofit"
June Ying Yee,Ryerson University ,,na,,"Race and racism, Anti-racism and anti-colonialism, Whiteness and white supremacy, Organizational change and evaluation models, Structural intersectionality and multiple positionalities, Immigrant and settlement services","Race and ethnicity, Discrimination, Bias, Decolonization, Organizations, Intersectionality, Immigration"
Lynn Lavallee,Ryerson University ,https://scholar.google.com/citations?hl=en&user=2gA85hQAAAAJ,,,"Indigenous resurgence; Research ethics, including Indigenous ethics; Indigenous health and well being; Indigenous research methodologies","Indigenous, Research methods, Ethics, Health"
Funke Oba,Ryerson University ,https://scholar.google.com/citations?hl=en&user=Gs-M2XEAAAAJ,https://orcid.org/0000-0002-1649-9243,https://www.researchgate.net/profile/Funke-Oba-2,"Anti-Black Racism, Afrocentric Theory, Decolonizing Praxis; Asset based Youth Engagement; Immigration, Immigrants and Refugees; Child Welfare; Domestic Violence; Scholarship of Teaching and Learning in Helping Professions; North-South Collaborations/Social Work in Africa","Discrimination, Black or African American, Decolonization, Children and adolescents, Immigration, Refugees, Child welfare, Domestic violence, Education, Cultural competence"
Suzie S. Weng,"California State University, Long Beach",,,,"Culturally Appropriate Services, Ethnic Specific Services, Informal Support, Community Development, Discrimination and Oppression, Stigma","Cultural competence, Race and ethnicity, Community Engagement, Discrimination"
Robynn J.A. Cox,University of Southern California ,https://scholar.google.com/citations?hl=en&user=OAiAZ5kAAAAJ,https://orcid.org/0000-0003-3687-786X,https://www.researchgate.net/profile/Robynn-Cox-2,"Mass Incarceration, Social Inequality, Social Work Education, Race and Class Inequalities","Criminal justice, Incarceration, Social Work education, Race and ethnicity, Discrimination"
Annalisa Enrile,University of Southern California ,,https://orcid.org/0000-0003-1788-2946,https://www.researchgate.net/profile/Annalisa_Enrile,"Human Rights, Anti-militarization, Immigration Policy, Sex Trafficking, Migrant labor","Human rights, Immigration, Human trafficking, Labor and employment, Policy"
Karen Lincoln,University of Southern California ,https://scholar.google.com/citations?hl=en&user=YbH_BzwAAAAJ,https://orcid.org/0000-0003-1891-2035,https://www.researchgate.net/profile/Karen-Lincoln-2,"stress, aging, and mental health disparities","Stress and coping, Aging, Mental and behavioral health, Disparities"
Shanea Thomas,University of Southern California ,https://scholar.google.com/citations?hl=en&user=PaZk_ZkAAAAJ,,https://www.researchgate.net/profile/Shanea-Thomas,"gender and sexuality issues, race and class dynamics, mental health, bereavement and strategic planning","Gender and sexuality, Race and ethnicity, Mental and behavioral health, Grief and loss"
Philip Baiden,University of Texas at Arlington,https://scholar.google.com/citations?hl=en&user=1Qy2XtkAAAAJ,https://orcid.org/0000-0003-3877-2594,https://www.researchgate.net/profile/Philip-Baiden,Suicide Prevention Research; Adverse Childhood Experiences (ACEs); Adolescent Substance Use Behaviors; Social Determinants of Health and Mental Health; Barriers to Health Service Utilization; International Social Work Research,"Self harm and suicide, Adverse childhood experiences (ACEs), Children and adolescents, Substance use, Social determinants, Health, Mental and behavioral health, Healthcare, Global perspectives"
Saltanat Childress,University of Texas at Arlington,https://scholar.google.com/citations?hl=en&user=66FELN0AAAAJ,https://orcid.org/0000-0002-2864-2780,https://www.researchgate.net/profile/Saltanat-Childress-2,"Family wellbeing, child wellbeing, parenting, prevention of family violence in global settings; economic empowerment; immigrant and refugee populations","Families and Family Dynamics, Children and adolescents, Domestic violence, Global perspectives, Economic issues, Immigration, Refugees"
Zhen Cong,University of Texas at Arlington,https://scholar.google.com/citations?hl=en&user=P3VtDbAAAAAJ,https://orcid.org/0000-0002-1949-056X,https://www.researchgate.net/profile/Zhen-Cong,"Aging, intergenerational relationships, disasters, China, health disparity, mental health, living arrangement, caregiving, social support, vulnerability, resilience, interdisciplinary research","Aging, Families and Family Dynamics, Health, Disparities, Mental and behavioral health, Resilience, Vulnerable populations"
Jandel Crutchfield,University of Texas at Arlington,https://scholar.google.com/citations?user=Y_dUIY4AAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0003-3319-2726,https://www.researchgate.net/profile/Jandel-Crutchfield,"School social work in traditional and charter schools, cultural competence of school social workers, colorism and social work practice","Education, Cultural competence, Bias, Social Work practice, School Social Work"
Danielle R. Eugene,University of Texas at Arlington,https://scholar.google.com/citations?hl=en&user=D4jcX80AAAAJ,https://orcid.org/0000-0001-8686-0615,https://www.researchgate.net/profile/Danielle-Eugene,"Social ecology of disadvantaged ethnic minority youth; positive youth/emerging adulthood development; racial disparities and equity in education (K-12); school climate, school connectedness, and student outcomes; school social work practice","Race and ethnicity, Children and adolescents, Human development, Disparities, Education, School Social Work, Social Work practice"
Vijayan Pillai,University of Texas at Arlington,https://scholar.google.com/citations?hl=en&user=FsjuTqsAAAAJ,,https://www.researchgate.net/profile/Vijayan-Pillai,"Adolescent social problems , Reproductive health , National and International social policy, Population, Community Planning, Demographic Techniques, Zambia, Social Policy, Reproductive rights, Development","Children and adolescents, Sexual or Reproductive Health, Global perspectives, Policy"
Eusebius Small,University of Texas at Arlington,https://scholar.google.com/citations?hl=en&user=scuSSJcAAAAJ,https://orcid.org/0000-0001-9027-3632,https://www.researchgate.net/profile/Eusebius-Small,"International Social Work, The Intersection of HIV and Contextual Social Norms, Adolescent Risk Behaviors, Comparative Social Policy","Global perspectives, HIV or AIDS, Children and adolescents, Risk Behavior, Policy"
Debra J. Woody,University of Texas at Arlington,,,,"Substance Abuse, School Based Social Work Services","Substance use, School Social Work"
Ling Xu,University of Texas at Arlington,https://scholar.google.com/citations?hl=en&user=x4g3MEcAAAAJ,https://orcid.org/0000-0003-0798-2126,https://www.researchgate.net/profile/Ling-Xu-6,"Aging, grandparents, ethnicity (Chinese), assistive technology, Intergenerational Support and Healthy Aging, Health Disparity, Health Care Utilization, Acculturative Stress, Social support and Well-being of Older Adults, Asian American Older Adults","Aging, Families and Family Dynamics, Race and ethnicity, Asian Americans and Pacific Islander (AAPI), Health, Disparities, Healthcare, Stress and coping"
